transaction_id,customer_id,product_id,date,quantity,unit_price,discount,total_amount,profit
4109,96,34,2023-01-01,12,129.06,0.15,1316.41,416.89
3591,276,4,2023-01-01,6,117.7,0.0,706.2,309.78
6051,273,32,2023-01-01,2,57.37,0.1,103.27,26.29
4574,259,16,2023-01-01,6,45.98,0.05,262.09,102.49
967,298,17,2023-01-01,17,25.17,0.05,406.5,166.63
9019,457,21,2023-01-01,14,50.32,0.05,669.26,114.72
8903,434,26,2023-01-01,15,82.31,0.15,1049.45,300.2
7361,78,36,2023-01-01,12,77.46,0.05,883.04,125.0
7791,292,36,2023-01-01,2,77.46,0.05,147.17,20.83
5715,375,18,2023-01-01,7,105.6,0.15,628.32,173.67
4913,450,21,2023-01-01,20,50.32,0.05,956.08,163.88
6003,234,16,2023-01-01,9,45.98,0.0,413.82,174.42
1694,155,2,2023-01-01,12,64.36,0.05,733.7,206.66
8398,468,14,2023-01-02,18,62.11,0.1,1006.18,243.16
7530,157,21,2023-01-02,20,50.32,0.0,1006.4,214.2
6221,256,31,2023-01-02,20,119.38,0.05,2268.22,669.82
7559,477,9,2023-01-02,16,54.31,0.0,868.96,243.2
7309,44,34,2023-01-02,8,129.06,0.0,1032.48,432.8
994,193,17,2023-01-02,4,25.17,0.15,85.58,29.14
891,235,27,2023-01-02,1,95.33,0.0,95.33,25.53
8601,11,22,2023-01-02,20,29.12,0.0,582.4,251.4
6575,302,26,2023-01-02,16,82.31,0.0,1316.96,517.76
7380,330,29,2023-01-02,19,72.91,0.0,1385.29,566.77
8002,75,17,2023-01-02,7,25.17,0.0,176.19,77.42
1929,142,17,2023-01-02,10,25.17,0.0,251.7,110.6
9185,304,36,2023-01-02,3,77.46,0.0,232.38,42.87
4571,23,16,2023-01-03,7,45.98,0.0,321.86,135.66
9411,280,11,2023-01-03,19,78.15,0.05,1410.61,582.4
6852,139,19,2023-01-03,19,70.92,0.05,1280.11,400.22
9921,116,9,2023-01-03,18,54.31,0.15,830.94,126.96
8088,336,15,2023-01-03,6,31.0,0.15,158.1,36.48
9169,226,8,2023-01-03,15,58.02,0.0,870.3,344.85
9354,328,32,2023-01-03,16,57.37,0.05,872.02,256.18
88,23,14,2023-01-03,5,62.11,0.1,279.5,67.55
7359,62,17,2023-01-03,17,25.17,0.0,427.89,188.02
9559,294,18,2023-01-03,12,105.6,0.1,1140.48,361.08
2984,417,30,2023-01-03,18,101.21,0.05,1730.69,660.59
6044,486,18,2023-01-03,5,105.6,0.0,528.0,203.25
785,313,24,2023-01-03,11,61.1,0.1,604.89,151.8
3719,240,12,2023-01-03,8,103.7,0.0,829.6,268.0
9306,402,23,2023-01-03,8,58.89,0.15,400.45,55.09
2376,102,32,2023-01-03,8,57.37,0.0,458.96,151.04
1191,147,10,2023-01-03,11,22.77,0.0,250.47,99.88
6270,232,30,2023-01-04,16,101.21,0.1,1457.42,506.22
3048,467,28,2023-01-04,16,96.98,0.0,1551.68,446.4
7297,105,4,2023-01-04,4,117.7,0.0,470.8,206.52
3851,453,36,2023-01-04,9,77.46,0.1,627.43,58.9
1017,70,19,2023-01-04,2,70.92,0.0,141.84,49.22
